"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"OF","Forbes",1,3.86111111111111,3.54853892306524,18,0.358382575859891
"OP","Forbes",1,2.70526315789474,3.54853892306524,19,-0.444167040746402
"BM","Gatton",1,4.75604395604396,3.82852302653163,91,0.927520929512323
"L","Gatton",1,2.44943820224719,3.82852302653163,89,-1.37908482428444
"MF","Gatton",1,4.25757575757576,3.82852302653163,66,0.429052731044125
"OF","Gatton",1,4.41891891891892,3.82852302653163,74,0.590395892387286
"OP","Gatton",1,3.26063829787234,3.82852302653163,94,-0.567884728659293
"BM","Gawler",1,4.50234375,3.73037994947431,128,0.771963800525693
"L","Gawler",1,3.00854700854701,3.73037994947431,234,-0.721832940927298
"MF","Gawler",1,3.60097087378641,3.73037994947431,206,-0.129409075687899
"OF","Gawler",1,4.13012820512821,3.73037994947431,156,0.399748255653899
"OP","Gawler",1,3.40990990990991,3.73037994947431,222,-0.320470039564396
"BM","Geelong",1,4.27474747474747,3.65797627785475,495,0.61677119689273
"L","Geelong",1,2.95375375375375,3.65797627785475,666,-0.704222524100991
"MF","Geelong",1,3.67233542319749,3.65797627785475,638,0.014359145342747
"OF","Geelong",1,4.19180064308682,3.65797627785475,622,0.533824365232071
"OP","Geelong",1,3.19724409448819,3.65797627785475,635,-0.460732183366556
"BM","Geraldton",1,5.12125984251969,3.61771819402065,127,1.50354164849904
"L","Geraldton",1,2.79442424242424,3.61771819402065,165,-0.823293951596404
"MF","Geraldton",1,3.32383561643836,3.61771819402065,146,-0.29388257758229
"OF","Geraldton",1,3.96824324324324,3.61771819402065,148,0.350525049222596
"OP","Geraldton",1,2.88082802547771,3.61771819402065,157,-0.736890168542939
"BM","Gilgandra",1,6.38888888888889,3.77661111111111,9,1.06955455286384
"L","Gilgandra",1,2.47,3.77661111111111,20,-0.924015755938997
"MF","Gilgandra",1,2.63333333333333,3.77661111111111,12,-0.090221572989505
"OF","Gilgandra",1,4.3375,3.77661111111111,16,0.358382575859891
"OP","Gilgandra",1,3.05333333333333,3.77661111111111,15,-0.444167040746402
"L","Glen Innes",1,2,3.65,5,-0.924015755938997
"OF","Glen Innes",1,5.1,3.65,2,0.358382575859891
"OP","Glen Innes",1,3.85,3.65,2,-0.444167040746402
"BM","Gosford",1,4.32347150259067,3.36621531347858,193,0.957256189112094
"L","Gosford",1,2.40648888888889,3.36621531347858,225,-0.959726424589691
"MF","Gosford",1,3.69380090497738,3.36621531347858,221,0.327585591498796
"OF","Gosford",1,3.70231527093596,3.36621531347858,203,0.336099957457381
"OP","Gosford",1,2.705,3.36621531347858,222,-0.66121531347858
"BM","Goulburn",1,4.64030303030303,3.63787560318973,66,1.0024274271133
"L","Goulburn",1,2.90899159663866,3.63787560318973,119,-0.728884006551079
"MF","Goulburn",1,3.60810810810811,3.63787560318973,111,-0.0297674950816256
